customer_id,tenure_months,contract_type,monthly_charges,total_charges,support_tickets,last_login_days,monthly_usage_gb,payment_method,paperless_billing,online_security,tech_support,num_products,churn
CR-1037,4,Month-to-Month,82.43,336.68,1,18,184.8,Mailed Check,Yes,No,Yes,3,0
CR-1038,35,One-Year,67.51,2394.19,0,4,12.0,Electronic Check,Yes,No,No,2,0
CR-1039,13,Two-Year,74.82,900.99,5,2,140.0,Mailed Check,No,Yes,No,2,0
CR-1040,5,One-Year,68.47,345.3,1,1,253.0,Electronic Check,No,No,No,2,0
CR-1041,59,Two-Year,88.16,5154.12,1,9,475.4,Credit Card,Yes,Yes,No,3,0
CR-1042,38,Two-Year,57.11,2169.41,1,42,63.7,Electronic Check,Yes,Yes,Yes,2,0
CR-1043,26,Month-to-Month,57.98,1528.89,1,19,193.8,Credit Card,No,Yes,No,1,1
CR-1044,18,Two-Year,85.96,1599.45,1,6,114.3,Electronic Check,Yes,No,No,3,0
CR-1045,72,Two-Year,62.26,4454.57,0,8,323.8,Electronic Check,Yes,Yes,No,2,0
CR-1046,9,Month-to-Month,54.01,470.32,2,3,51.7,Mailed Check,No,No,No,1,0
CR-1047,41,One-Year,68.88,2821.21,2,1,210.0,Electronic Check,Yes,Yes,No,1,0
CR-1048,11,Month-to-Month,67.31,711.17,1,7,47.4,Mailed Check,No,No,No,3,1
CR-1049,8,Month-to-Month,70.96,597.04,3,6,134.5,Electronic Check,No,No,No,3,1
CR-1050,2,One-Year,105.85,209.6,1,8,157.3,Electronic Check,Yes,Yes,No,3,0
CR-1051,30,Month-to-Month,101.27,3041.76,0,33,245.6,Credit Card,Yes,Yes,Yes,4,0
CR-1052,32,Month-to-Month,62.91,2031.73,3,10,73.8,Bank Transfer,Yes,Yes,No,2,0
CR-1053,54,One-Year,59.85,3229.75,3,10,213.1,Bank Transfer,Yes,Yes,No,2,0
CR-1054,7,Two-Year,73.08,487.03,0,1,161.5,Electronic Check,No,No,Yes,2,0
CR-1055,2,Month-to-Month,123.11,244.33,1,60,181.8,Bank Transfer,Yes,No,No,4,1
CR-1056,26,One-Year,54.35,1387.41,2,16,236.7,Bank Transfer,No,No,No,2,0
CR-1057,12,Month-to-Month,96.03,1155.6,1,23,57.4,Bank Transfer,No,No,No,4,0
CR-1058,4,Two-Year,39.49,187.87,0,5,224.8,Bank Transfer,Yes,No,Yes,1,0
CR-1059,3,One-Year,86.33,223.74,0,7,114.5,Bank Transfer,No,No,No,3,0
CR-1060,8,Month-to-Month,73.22,539.79,2,8,247.7,Mailed Check,No,Yes,No,2,1
CR-1061,9,Month-to-Month,95.21,858.37,3,2,186.8,Credit Card,No,No,No,3,1
CR-1062,38,Month-to-Month,50.67,1902.43,0,12,143.2,Electronic Check,Yes,No,No,1,0
CR-1063,7,Month-to-Month,68.19,478.28,0,25,112.8,Electronic Check,No,No,No,1,1
CR-1064,46,Two-Year,37.25,1723.11,1,1,225.9,Bank Transfer,Yes,No,Yes,1,0
CR-1065,12,Two-Year,52.65,567.49,3,0,260.9,Electronic Check,No,No,Yes,2,0
CR-1066,16,One-Year,75.69,1231.74,0,14,117.4,Electronic Check,Yes,No,Yes,2,0
CR-1067,49,Two-Year,98.23,4778.18,5,3,69.4,Credit Card,Yes,No,No,4,0
CR-1068,5,Month-to-Month,47.24,235.53,1,10,215.5,Credit Card,Yes,No,No,2,0
CR-1069,28,One-Year,39.84,1095.74,1,13,44.1,Bank Transfer,Yes,No,No,1,1
CR-1070,72,Two-Year,45.56,3263.76,3,4,55.6,Bank Transfer,Yes,No,Yes,1,0
CR-1071,20,Month-to-Month,36.54,781.62,1,18,75.0,Bank Transfer,Yes,No,Yes,1,0
CR-1072,10,Month-to-Month,68.85,698.08,0,8,126.8,Bank Transfer,No,Yes,Yes,3,0
CR-1073,4,Month-to-Month,76.92,334.82,1,22,53.1,Credit Card,Yes,No,Yes,3,1
CR-1074,11,Month-to-Month,86.35,954.38,1,15,12.0,Credit Card,Yes,No,No,4,1
CR-1075,9,Month-to-Month,67.35,624.75,1,22,69.2,Electronic Check,No,Yes,Yes,2,0
CR-1076,40,Two-Year,23.56,954.92,2,0,211.4,Credit Card,Yes,Yes,No,1,0
CR-1077,63,Two-Year,43.9,2773.33,1,3,58.3,Credit Card,No,Yes,No,1,0
CR-1078,5,Month-to-Month,66.2,364.21,0,1,132.8,Electronic Check,Yes,No,Yes,2,0
CR-1079,34,One-Year,96.09,3271.76,2,6,315.7,Electronic Check,Yes,Yes,No,4,0
CR-1080,5,Month-to-Month,53.93,338.2,1,24,156.1,Credit Card,Yes,No,No,1,1
CR-1081,7,One-Year,29.29,233.85,2,6,187.4,Bank Transfer,No,No,No,1,0
CR-1082,20,One-Year,71.99,1405.61,2,20,84.3,Credit Card,No,Yes,Yes,3,0
CR-1083,2,One-Year,57.7,110.1,1,4,333.1,Electronic Check,No,Yes,No,2,0
CR-1084,17,One-Year,50.13,864.12,1,4,116.7,Electronic Check,Yes,No,No,1,0
CR-1085,1,Month-to-Month,81.19,82.52,0,24,141.8,Electronic Check,No,No,No,3,1
CR-1086,3,Month-to-Month,64.43,213.9,2,6,265.4,Bank Transfer,No,Yes,No,1,0
CR-1087,27,One-Year,88.94,2425.29,1,17,145.5,Bank Transfer,Yes,No,Yes,4,0
CR-1088,3,Month-to-Month,29.05,46.36,4,2,163.8,Credit Card,No,No,Yes,1,0
CR-1089,56,Month-to-Month,60.89,3448.27,1,32,137.5,Credit Card,No,No,No,1,1
CR-1090,24,Month-to-Month,46.69,1105.66,3,9,138.0,Mailed Check,Yes,Yes,Yes,2,0
CR-1091,17,Two-Year,49.83,829.23,1,15,189.6,Electronic Check,Yes,No,Yes,1,0
CR-1092,64,One-Year,51.21,3259.47,2,1,204.2,Electronic Check,No,No,Yes,2,0
CR-1093,20,Month-to-Month,40.31,830.46,2,7,108.5,Electronic Check,Yes,Yes,No,2,1
CR-1094,69,Two-Year,57.25,3942.24,4,25,98.7,Bank Transfer,No,Yes,No,2,0
CR-1095,2,Month-to-Month,69.99,120.07,1,23,111.3,Electronic Check,Yes,Yes,No,2,1
CR-1096,51,Two-Year,48.78,2475.06,0,0,47.9,Credit Card,Yes,No,No,2,0
CR-1097,34,Month-to-Month,48.76,1604.0,3,3,32.8,Electronic Check,Yes,Yes,No,1,0
CR-1098,18,Two-Year,104.63,1858.08,6,6,183.8,Electronic Check,No,Yes,No,4,0
CR-1099,10,One-Year,66.28,625.61,1,2,235.1,Bank Transfer,Yes,No,No,3,0
CR-1100,6,One-Year,40.72,236.24,0,14,229.7,Electronic Check,Yes,Yes,Yes,1,0
CR-1101,3,Month-to-Month,76.77,250.24,1,2,12.0,Credit Card,Yes,Yes,No,2,0
CR-1102,65,Two-Year,67.51,4404.77,1,4,140.4,Credit Card,No,No,No,2,0
CR-1103,26,Month-to-Month,40.39,1087.84,0,11,71.8,Electronic Check,No,No,No,1,0
CR-1104,16,Month-to-Month,65.15,1073.42,1,7,171.5,Credit Card,No,No,Yes,2,0
CR-1105,29,Month-to-Month,54.15,1554.49,1,14,126.6,Bank Transfer,No,Yes,No,2,0
CR-1106,10,Month-to-Month,54.14,541.97,4,35,207.4,Bank Transfer,Yes,Yes,No,1,1
CR-1107,2,Month-to-Month,54.13,107.28,4,1,158.5,Electronic Check,Yes,No,Yes,1,1
CR-1108,37,Two-Year,80.21,2903.24,2,13,12.0,Credit Card,Yes,No,No,3,0
CR-1109,14,Month-to-Month,63.31,849.82,0,2,82.6,Electronic Check,No,Yes,Yes,2,0
CR-1110,3,Month-to-Month,33.01,94.01,1,5,160.5,Electronic Check,No,No,No,1,1
CR-1111,9,Month-to-Month,65.48,584.13,1,0,167.2,Electronic Check,No,Yes,No,3,0
CR-1112,47,One-Year,75.23,3551.18,2,1,47.5,Bank Transfer,No,Yes,No,3,0
CR-1113,10,Month-to-Month,42.13,435.21,0,4,37.1,Credit Card,No,Yes,No,1,0
CR-1114,22,Month-to-Month,89.63,1918.74,5,4,164.5,Mailed Check,Yes,No,No,3,1
CR-1115,13,One-Year,70.22,928.42,2,25,47.7,Credit Card,Yes,Yes,Yes,2,0
CR-1116,2,Month-to-Month,62.85,131.06,2,14,26.5,Mailed Check,No,Yes,No,2,0
CR-1117,29,Month-to-Month,72.91,2133.09,1,39,124.4,Credit Card,No,No,Yes,2,1
CR-1118,25,Month-to-Month,69.57,1771.26,1,10,120.9,Electronic Check,Yes,Yes,Yes,3,0
CR-1119,46,Two-Year,53.77,2469.13,0,3,89.7,Bank Transfer,No,Yes,Yes,1,0
CR-1120,59,Two-Year,53.1,3170.27,3,4,103.7,Bank Transfer,Yes,Yes,No,2,0
CR-1121,23,One-Year,73.4,1661.52,4,4,161.1,Bank Transfer,Yes,No,No,2,0
CR-1122,48,One-Year,60.87,2893.39,2,4,102.4,Bank Transfer,No,Yes,Yes,2,0
CR-1123,48,Two-Year,41.02,1981.82,1,12,165.7,Credit Card,No,No,Yes,2,0
CR-1124,56,Two-Year,68.3,3813.74,3,8,129.6,Electronic Check,Yes,Yes,Yes,2,0
CR-1125,46,One-Year,51.1,2358.45,1,5,173.4,Credit Card,Yes,Yes,No,1,0
CR-1126,9,Month-to-Month,56.43,567.66,2,1,230.3,Electronic Check,No,No,Yes,2,0
CR-1127,29,Month-to-Month,57.29,1673.21,1,0,227.1,Electronic Check,Yes,No,No,2,0
CR-1128,47,Two-Year,77.4,3644.17,0,2,263.1,Bank Transfer,Yes,Yes,No,3,0
CR-1129,46,One-Year,41.75,1894.42,0,1,227.1,Bank Transfer,Yes,No,No,2,0
CR-1130,3,Two-Year,37.35,61.05,3,16,179.1,Electronic Check,Yes,Yes,No,2,0
CR-1131,15,One-Year,110.02,1648.12,2,1,125.3,Bank Transfer,No,No,Yes,4,0
CR-1132,69,One-Year,34.76,2430.45,0,14,129.0,Bank Transfer,Yes,No,Yes,1,0
CR-1133,6,Month-to-Month,61.55,359.61,3,5,89.8,Electronic Check,Yes,Yes,No,1,1
CR-1134,9,One-Year,74.7,684.34,1,0,160.4,Credit Card,No,No,No,2,0
CR-1135,14,One-Year,58.67,864.17,1,18,215.8,Electronic Check,No,No,No,1,0
CR-1136,9,Month-to-Month,54.5,532.55,1,9,101.9,Credit Card,Yes,Yes,No,2,0
CR-1137,69,Two-Year,26.92,1870.34,1,2,157.0,Electronic Check,Yes,Yes,No,1,0
CR-1138,35,One-Year,32.13,1129.65,2,24,105.8,Bank Transfer,Yes,No,Yes,1,0
CR-1139,39,One-Year,38.54,1457.5,0,0,176.7,Mailed Check,Yes,Yes,No,1,0
CR-1140,3,Month-to-Month,37.27,92.9,0,2,116.0,Credit Card,Yes,No,Yes,2,1
CR-1141,72,One-Year,74.25,5337.58,1,15,100.8,Credit Card,Yes,No,No,3,0
CR-1142,66,One-Year,76.98,5055.11,1,13,105.6,Electronic Check,No,No,Yes,3,0
CR-1143,49,Two-Year,30.06,1480.39,1,3,200.3,Electronic Check,No,No,Yes,1,0
CR-1144,19,Month-to-Month,50.6,1018.75,1,0,152.3,Bank Transfer,No,Yes,No,2,0
CR-1145,1,Two-Year,40.79,86.32,3,21,125.7,Bank Transfer,No,No,Yes,1,0
CR-1146,1,Month-to-Month,64.56,71.88,2,4,180.9,Mailed Check,No,Yes,Yes,2,1
CR-1147,50,Two-Year,70.09,3527.88,2,2,126.8,Electronic Check,Yes,No,No,3,0
CR-1148,11,Month-to-Month,63.92,681.26,0,7,250.1,Bank Transfer,Yes,Yes,No,2,0
CR-1149,16,Month-to-Month,44.37,753.84,0,26,82.1,Bank Transfer,No,Yes,No,1,1
CR-1150,16,Month-to-Month,61.47,936.66,2,0,145.0,Credit Card,No,Yes,No,2,0
CR-1151,22,Month-to-Month,36.48,829.94,0,15,47.6,Electronic Check,Yes,Yes,No,1,0
CR-1152,33,One-Year,47.67,1587.98,2,9,132.3,Mailed Check,Yes,Yes,Yes,2,0
CR-1153,32,One-Year,77.96,2472.04,3,6,25.6,Bank Transfer,No,No,No,2,0
CR-1154,54,Two-Year,67.3,3627.94,3,14,219.7,Credit Card,Yes,No,No,2,0
CR-1155,71,One-Year,107.06,7567.23,1,37,221.3,Bank Transfer,Yes,No,No,4,0
CR-1156,43,One-Year,60.16,2554.13,2,2,222.7,Credit Card,Yes,Yes,Yes,2,0
CR-1157,56,One-Year,77.36,4284.43,1,1,162.3,Electronic Check,Yes,Yes,Yes,3,0
CR-1158,7,One-Year,83.91,610.4,3,26,89.6,Credit Card,Yes,No,Yes,3,0
CR-1159,12,One-Year,42.65,547.96,2,12,96.0,Bank Transfer,Yes,Yes,No,2,0
CR-1160,30,One-Year,49.85,1430.65,1,6,282.4,Bank Transfer,No,No,Yes,2,0
CR-1161,6,Month-to-Month,35.02,265.27,2,9,274.9,Electronic Check,Yes,Yes,No,1,0
CR-1162,41,Month-to-Month,56.45,2314.09,0,15,169.8,Credit Card,No,No,No,2,0
CR-1163,10,Two-Year,52.2,530.7,1,16,118.7,Electronic Check,Yes,Yes,No,2,0
CR-1164,1,Month-to-Month,46.33,46.33,0,27,269.5,Electronic Check,Yes,Yes,No,1,1
CR-1165,6,Month-to-Month,61.81,410.48,0,6,104.4,Electronic Check,No,No,Yes,2,0
CR-1166,51,Two-Year,92.93,4745.44,2,3,178.3,Electronic Check,No,Yes,No,3,0
CR-1167,13,Month-to-Month,121.74,1616.78,3,11,268.2,Credit Card,No,No,No,4,1
CR-1168,53,Two-Year,48.37,2600.24,2,5,93.1,Electronic Check,Yes,Yes,Yes,2,0
CR-1169,9,Month-to-Month,62.47,602.28,2,9,226.3,Electronic Check,Yes,No,Yes,2,0
CR-1170,33,One-Year,80.46,2635.73,0,5,201.6,Electronic Check,No,Yes,No,3,0
CR-1171,25,Month-to-Month,60.86,1515.26,1,1,156.8,Bank Transfer,Yes,No,No,2,0
CR-1172,13,One-Year,32.15,399.6,0,6,80.5,Bank Transfer,No,No,No,1,0
CR-1173,28,One-Year,33.83,974.09,1,12,102.0,Electronic Check,Yes,No,No,1,0
CR-1174,69,Two-Year,81.4,5626.59,3,17,183.2,Bank Transfer,No,No,No,3,0
CR-1175,1,Month-to-Month,33.55,65.62,1,7,46.1,Bank Transfer,No,No,Yes,1,0
CR-1176,26,Two-Year,62.59,1660.72,0,1,170.5,Credit Card,Yes,No,No,2,0
CR-1177,47,Month-to-Month,58.54,2699.56,1,5,203.3,Electronic Check,Yes,Yes,No,2,0
CR-1178,30,Month-to-Month,80.42,2453.12,0,16,238.8,Credit Card,No,No,Yes,3,0
CR-1179,7,Month-to-Month,87.47,640.82,0,5,48.1,Electronic Check,No,Yes,No,4,1
CR-1180,31,Two-Year,62.57,1928.59,1,13,265.3,Credit Card,Yes,Yes,No,2,0
CR-1181,8,Month-to-Month,88.19,716.01,0,7,295.6,Bank Transfer,Yes,No,No,4,0
CR-1182,23,One-Year,44.61,1022.32,2,3,192.8,Electronic Check,Yes,No,No,1,0
CR-1183,57,Two-Year,56.39,3232.71,0,17,77.0,Bank Transfer,Yes,Yes,No,1,0
CR-1184,14,Month-to-Month,99.61,1383.4,4,0,133.8,Credit Card,Yes,No,Yes,4,0
CR-1185,53,One-Year,64.22,3418.03,1,8,156.2,Bank Transfer,No,No,No,2,0
CR-1186,20,Month-to-Month,51.17,1025.42,3,2,181.6,Bank Transfer,Yes,No,Yes,1,1
CR-1187,31,One-Year,46.96,1442.79,0,0,161.8,Electronic Check,No,No,Yes,2,0
CR-1188,15,Month-to-Month,96.19,1448.55,3,7,182.5,Mailed Check,No,Yes,Yes,3,1
CR-1189,70,Month-to-Month,68.44,4871.99,1,7,152.7,Credit Card,Yes,No,No,3,0
CR-1190,57,Two-Year,87.8,4984.03,2,13,181.2,Bank Transfer,Yes,Yes,No,3,0
CR-1191,17,Two-Year,68.47,1156.49,3,15,123.2,Credit Card,No,No,No,2,0
CR-1192,8,Month-to-Month,69.98,539.8,2,14,132.9,Electronic Check,Yes,No,No,3,0
CR-1193,10,Month-to-Month,71.09,694.0,0,5,113.9,Credit Card,Yes,No,No,2,1
CR-1194,10,Month-to-Month,65.98,684.27,1,10,313.4,Bank Transfer,No,No,No,2,0
CR-1195,29,One-Year,97.9,2860.58,2,9,277.1,Bank Transfer,Yes,No,Yes,3,0
CR-1196,3,One-Year,62.93,188.61,2,6,204.4,Electronic Check,Yes,No,Yes,2,0
CR-1197,65,Month-to-Month,41.91,2754.94,1,10,266.0,Mailed Check,Yes,No,Yes,1,0
CR-1198,13,Month-to-Month,55.85,749.85,0,32,223.9,Credit Card,No,Yes,Yes,2,1
CR-1199,5,One-Year,43.57,212.98,2,2,174.5,Credit Card,Yes,Yes,Yes,2,0
CR-1200,68,Two-Year,39.82,2661.74,3,25,39.6,Electronic Check,Yes,No,No,1,0
CR-1201,31,Month-to-Month,40.24,1272.33,5,0,139.0,Electronic Check,Yes,No,Yes,1,1
CR-1202,53,Two-Year,45.62,2422.95,1,4,133.2,Bank Transfer,No,No,No,1,0
CR-1203,8,Month-to-Month,28.77,230.83,1,3,69.4,Credit Card,No,No,No,1,0
CR-1204,19,Month-to-Month,76.61,1441.61,1,10,41.1,Mailed Check,Yes,Yes,No,3,0
CR-1205,30,One-Year,48.76,1485.14,1,1,199.4,Electronic Check,No,No,No,1,0
CR-1206,5,One-Year,49.76,259.25,4,23,186.0,Bank Transfer,Yes,No,No,1,1
CR-1207,1,Month-to-Month,42.4,42.4,1,19,66.6,Credit Card,Yes,No,No,2,0
CR-1208,5,One-Year,86.06,393.54,3,11,100.3,Electronic Check,No,Yes,No,3,1
CR-1209,72,One-Year,40.53,2950.2,0,6,252.9,Bank Transfer,Yes,No,No,1,0
CR-1210,10,One-Year,41.15,429.65,1,29,89.8,Electronic Check,No,No,No,1,0
CR-1211,14,One-Year,73.35,1034.56,1,19,173.7,Credit Card,No,No,No,4,0
CR-1212,14,Two-Year,75.94,983.46,1,7,144.8,Credit Card,Yes,No,No,2,0
CR-1213,5,One-Year,98.77,492.71,1,13,200.5,Credit Card,No,No,No,4,0
CR-1214,68,Month-to-Month,27.69,1875.68,3,9,91.5,Credit Card,Yes,Yes,No,1,1
CR-1215,16,Two-Year,46.75,729.45,0,9,167.2,Electronic Check,Yes,No,Yes,1,0
CR-1216,71,Two-Year,46.44,3319.87,3,4,173.5,Credit Card,Yes,Yes,No,1,0
CR-1217,23,One-Year,55.23,1291.74,2,6,178.4,Credit Card,No,No,No,1,0
CR-1218,11,Month-to-Month,75.9,848.0,1,0,166.3,Bank Transfer,Yes,Yes,No,3,1
CR-1219,42,Two-Year,97.12,4110.18,3,4,187.6,Bank Transfer,No,No,Yes,4,0
CR-1220,15,Two-Year,90.57,1327.88,1,13,335.3,Mailed Check,No,No,No,4,0
CR-1221,20,Month-to-Month,84.98,1685.99,2,33,364.9,Credit Card,Yes,Yes,No,3,0
CR-1222,7,Two-Year,71.17,500.43,1,36,108.9,Mailed Check,No,No,No,3,0
CR-1223,4,Month-to-Month,52.07,189.62,0,8,12.0,Mailed Check,Yes,Yes,No,2,0
CR-1224,30,Month-to-Month,78.32,2371.42,1,10,207.6,Bank Transfer,Yes,Yes,No,3,0
CR-1225,53,Two-Year,30.74,1613.55,1,2,174.9,Credit Card,No,No,No,1,0
CR-1226,58,Two-Year,77.02,4506.11,0,13,244.9,Bank Transfer,Yes,No,No,2,0
CR-1227,3,Month-to-Month,80.27,212.88,1,0,182.8,Electronic Check,No,Yes,No,2,1
CR-1228,12,Month-to-Month,74.46,957.48,1,3,164.7,Bank Transfer,Yes,No,No,3,1
CR-1229,4,Two-Year,47.13,249.4,3,12,250.3,Bank Transfer,Yes,No,Yes,2,0
CR-1230,3,Month-to-Month,82.37,244.27,1,4,261.5,Electronic Check,No,Yes,No,3,1
CR-1231,22,Month-to-Month,56.18,1270.35,1,0,49.1,Mailed Check,Yes,No,Yes,2,0
CR-1232,35,Month-to-Month,90.75,3164.24,1,19,94.7,Electronic Check,Yes,No,Yes,3,1
CR-1233,72,Two-Year,89.13,6447.76,1,4,151.6,Mailed Check,No,Yes,No,4,0
CR-1234,2,One-Year,48.45,91.62,1,0,167.9,Electronic Check,No,No,No,1,0
CR-1235,65,Two-Year,98.14,6340.54,3,0,141.9,Electronic Check,Yes,No,Yes,4,0
CR-1236,21,One-Year,54.24,1033.06,3,3,194.7,Bank Transfer,Yes,No,No,2,0
CR-1237,12,Month-to-Month,63.4,752.74,1,2,239.7,Credit Card,Yes,No,Yes,2,0
CR-1238,5,Month-to-Month,87.79,447.32,2,16,297.8,Electronic Check,No,No,No,3,1
CR-1239,4,Month-to-Month,61.87,287.39,2,4,206.3,Mailed Check,Yes,Yes,No,2,0
CR-1240,52,One-Year,61.97,3223.54,5,17,91.8,Credit Card,Yes,No,No,2,0
CR-1241,3,Month-to-Month,52.27,186.9,2,2,148.2,Credit Card,No,Yes,No,2,0
CR-1242,33,One-Year,54.44,1782.9,2,7,154.0,Electronic Check,Yes,No,Yes,1,0
CR-1243,1,Month-to-Month,71.45,71.45,2,12,201.2,Bank Transfer,Yes,No,No,2,1
CR-1244,26,One-Year,38.89,1042.76,2,11,191.1,Mailed Check,Yes,No,No,1,0
CR-1245,62,One-Year,95.76,5863.18,4,10,324.0,Electronic Check,No,Yes,No,4,0
CR-1246,15,Month-to-Month,57.14,857.49,1,28,123.1,Electronic Check,Yes,No,No,1,1
CR-1247,53,Two-Year,49.66,2619.98,1,2,190.8,Bank Transfer,Yes,No,No,2,0
CR-1248,55,One-Year,103.04,5708.02,0,7,348.4,Mailed Check,No,Yes,Yes,4,0
CR-1249,29,Two-Year,91.41,2635.04,6,23,113.2,Bank Transfer,No,No,Yes,4,0
CR-1250,67,Two-Year,96.78,6499.76,0,0,171.6,Bank Transfer,Yes,No,No,3,0
CR-1251,54,One-Year,61.63,3355.67,3,0,84.4,Credit Card,Yes,No,Yes,2,0
CR-1252,65,Two-Year,55.6,3569.22,1,2,166.6,Mailed Check,Yes,No,No,1,0
CR-1253,42,Two-Year,53.39,2238.2,1,11,97.6,Electronic Check,Yes,Yes,No,2,0
CR-1254,7,Month-to-Month,30.51,200.62,0,3,243.7,Electronic Check,Yes,No,Yes,1,0
CR-1255,11,Month-to-Month,76.66,871.65,1,2,171.8,Electronic Check,Yes,Yes,No,3,0
CR-1256,13,Month-to-Month,63.63,847.44,1,6,85.2,Electronic Check,Yes,Yes,No,2,0
CR-1257,52,Two-Year,55.89,2899.28,1,10,227.2,Electronic Check,Yes,No,No,2,0
CR-1258,21,One-Year,68.58,1408.76,2,3,174.4,Electronic Check,Yes,No,Yes,2,0
CR-1259,59,Two-Year,58.9,3506.24,3,3,236.2,Bank Transfer,Yes,No,Yes,2,0
CR-1260,69,Two-Year,40.19,2771.08,0,10,68.2,Electronic Check,No,Yes,No,2,0
CR-1261,14,One-Year,84.53,1134.87,2,32,189.5,Bank Transfer,Yes,Yes,Yes,3,0
CR-1262,26,One-Year,34.17,842.45,2,12,221.9,Mailed Check,No,No,Yes,1,0
CR-1263,25,Month-to-Month,57.38,1447.63,2,16,126.1,Electronic Check,Yes,No,No,2,1
CR-1264,22,One-Year,58.53,1249.39,1,5,59.3,Bank Transfer,No,No,No,1,0
CR-1265,54,Two-Year,60.73,3335.21,1,3,156.7,Electronic Check,Yes,No,No,1,0
CR-1266,51,Month-to-Month,55.25,2789.64,0,6,258.2,Bank Transfer,Yes,No,Yes,2,0
CR-1267,34,One-Year,48.78,1658.51,3,18,250.1,Credit Card,No,No,Yes,1,0
CR-1268,21,Two-Year,37.48,791.85,1,6,125.7,Credit Card,Yes,No,Yes,1,0
CR-1269,19,Two-Year,76.13,1424.59,1,20,57.4,Bank Transfer,Yes,No,No,3,0
CR-1270,17,Month-to-Month,54.94,866.79,4,49,125.5,Credit Card,Yes,No,No,2,1
CR-1271,65,Month-to-Month,25.76,1680.13,2,0,122.5,Credit Card,Yes,No,Yes,1,0
